Name,Link
"Babbitt, Platt D.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=32727
"Babcock, William Perkins",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28284
"Babel, Pierre-Edme",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=12023
"Baburen, Dirck van",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22774
"Bac, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361
Bacchiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131
"Bach, Ferdinand Sigismond",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19361
"Bach, Julie",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25979
"Bacharach, Herman Ilfeld",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=34211
"Bachelard, Gaston",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=28722
"Bacher, Frank K.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=21905
"Bacher, Otto Henry",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6440
Bachiacca,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=131
Baciccia,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671
Baciccio,https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5671
"Backhuysen, Ludolf",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=5957
"Bacler d'Albe, Louis-Albert-Guillain, baron",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2951
"Bacon, Francis",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=132
"Bacon, Peggy",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=2952
"Badalocchio, Sisto",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=22775
"Baden, Aiko",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19608
"Baden, Ken",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=19607
"Baden, Stanley",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=25703
"Bader, Herman",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7222
"Badger, Frances S.",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=33143
"Badger, Joseph",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=133
"Badii, Libero",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=6579
"Badin, Ferdinand",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=7223
"Baer, George",https://web.archive.org/web/20121007172915/http://www.nga.gov/cgi-bin/tsearch?artistid=181
"Baer, Jo",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=10154
"Baes, Martin",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6169
"Bagelaar, Ernst Willem Jan",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=18524
"Baggs, Lloyd",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=14925
"Baglione, Giovanni",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5866
"Bagno, Cesare da",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2064
"Bailey, Evelyn",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=7224
"Bailey, Oscar",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6512
"Bailey, William",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=16044
"Baillie, Captain",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2953
"Baillie, William",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2953
"Baillieul L'Aine, François",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=11456
"Bailliu, Pieter de",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2955
"Bailliu, Pieter de the Elder",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2955
"Baj, Enrico",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=227
"Baker, Daniel Mrs.",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5718
"Baker, Lamar",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=33144
"Baker, Lynn",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=10112
"Baker, Oliver Mozart",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=34614
"Baker, Tim",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=23508
"Baker, Timothy",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=23508
"Baker, William Robert",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=16461
"Bakhuysen, Ludolf",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=5957
"Bakker, Gerhard H.",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=35057
"Bakst, Leon",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Bakst, Leon Nicolaevitch",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Bakst, Lev Samoilovich",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=2351
"Baksteen, Dirk",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=35032
"Balakjian, Mark",https://web.archive.org/web/20121010195305/http://www.nga.gov/cgi-bin/tsearch?artistid=6782
"Balcar, Jirí",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=5644
Balco,https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=23703
"Balcom, Lowell Leroy",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=33145
"Baldaccini, César",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2011
Baldassare da Siena,https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2680
Baldassare da Volterra,https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2680
Baldassare d'Este,https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2099
Baldassare Estense,https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2099
"Baldassari, John",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=10155
"Baldes, Lucas",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=12113
"Baldessari, John",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=10155
"Baldessari, John Anthony",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=10155
"Baldi, Bernardino",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=11633
"Baldini, Baccio",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2956
"Baldini, Bartolomeo",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2956
"Baldridge, Cyrus LeRoy",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=33146
"Balducci, Giovanni",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2352
"Balducci, Giovanni",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2120
"Baldung, Hans",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=323
"Baldung Grien, Hans",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=323
"Baldus, Édouard-Denis",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=13414
"Baldwin, John",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=34619
"Baldwin, Robert",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=22287
"Balechou, Jean-Joseph",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2958
"Balestra, Antonio",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=2353
"Balfour, Helen",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=7225
"Balfour, Maxwell",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=9818
"Ball, Kathryn Uhl",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=8148
"Ball, Lillian",https://web.archive.org/web/20121010194957/http://www.nga.gov/cgi-bin/tsearch?artistid=27204
"Balla, Giacomo",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2354
"Ballantyne, Chris",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=27166
"Ballerd, Harold",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=7226
"Balleroy, Albert de",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=29319
"Ballinger, Maxil",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2959
"Ballinger, R. Maxil",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2959
"Balsham, Leah",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=33147
"Baltard, Louis Pierre",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=11389
"Balten, Pieter",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2960
"Baltens, Pieter",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2960
"Balth, Carel",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=20525
Balthasar Klossowski de Rola,https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=6713
Balthus,https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=6713
Baltimore Lord,https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=30565
"Baltz, Lewis",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=24606
"Balugani, Luigi",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=19792
"Balvay, Charles-Clement",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=3515
"Bambaia, il",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=4877
Bamboccio,https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=4561
"Bambridge, William",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=16693
"Banck, Pieter van der",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=3219
"Bandinelli, Baccio",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2012
"Bandinelli, Bartolomeo",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2012
"Bank, Moses",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=7227
"Banks, Thomas",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=6098
"Bannard, Walter Darby",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=27438
"Bannerman, Alexander",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2961
"Banning, Beatrice Harper",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=33148
"Baquoy, Jean-Charles",https://web.archive.org/web/20121010194844/http://www.nga.gov/cgi-bin/tsearch?artistid=2962
